"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 21 13:47:25 GMT 2022","Fri Oct 21 13:47:31 GMT 2022","5798","Register new account","Create user","","","","Activate account",""
"failed","Fri Oct 21 13:47:31 GMT 2022","Fri Oct 21 13:47:35 GMT 2022","4206","Register new account","Create user","","","","remove account ",""
"passed","Fri Oct 21 13:46:48 GMT 2022","Fri Oct 21 13:46:50 GMT 2022","1863","","Register new account","","","","Create a new RKS Coordinator account: check validation",""
"broken","Fri Oct 21 13:46:51 GMT 2022","Fri Oct 21 13:46:51 GMT 2022","1","","Log out","","","","Log out",""
"passed","Fri Oct 21 13:46:47 GMT 2022","Fri Oct 21 13:46:48 GMT 2022","1076","","Register new account","","","","Create a new RKS Coordinator account: back to login form",""
"passed","Fri Oct 21 13:46:43 GMT 2022","Fri Oct 21 13:46:47 GMT 2022","3991","","Register new account","","","","Create a new RKS Coordinator account: check elements of interface",""
"broken","Fri Oct 21 13:46:54 GMT 2022","Fri Oct 21 13:47:01 GMT 2022","7271","","Select the My Account/Profile: verify you see the 5 tabs, and also Back and Logout links","","","","Verify the My Account/Profile",""
"passed","Fri Oct 21 13:46:50 GMT 2022","Fri Oct 21 13:47:25 GMT 2022","34826","Register new account","Create user","","","","Create a new RKS Coordinator account: add new account",""
